,accuracy,accuracy,precision,precision,recall,recall,f1,f1,macro_f1,macro_f1,roc_auc,roc_auc,pr_auc,pr_auc,balanced_accuracy,balanced_accuracy,brier,brier
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,
ET,0.8737244897959183,0.05283753871736728,0.7995445784107703,0.13004707994484102,0.8167772108843538,0.1438224199120263,0.7937969385687706,0.09509242477202762,0.8472262319790085,0.060275000316502826,0.9434060382037787,0.06180662361913285,0.9170167037903777,0.10086819985323618,0.8575070861678004,0.06761484212061776,0.0805180691022025,0.03465157222694648
Ensemble,0.8778061224489797,0.05002999494875488,0.8104903033535169,0.11415146789048221,0.807219387755102,0.18539955937460528,0.7888197181416391,0.11341904244427421,0.8469561935518317,0.06573122407556378,0.9398799229803239,0.0652696679592944,0.91069454512424,0.10014248447146579,0.8572678313749742,0.08330910783650258,0.08331074175438406,0.03540550822628532
GB,0.866326530612245,0.09733510478930571,0.821843139688621,0.11264012199415588,0.7704506802721088,0.2007538830068187,0.7736173809377803,0.13375086791102922,0.8221160385767418,0.13609531832628677,0.9178734870571604,0.0754805085433859,0.8877707506902066,0.10837824038997851,0.8313744588744589,0.11973376800463519,0.09985855790151116,0.04353602725336901
KNN,0.8510204081632653,0.06860300536314946,0.7903639842925362,0.1788309634732415,0.7558673469387756,0.16514403725833698,0.7516228284884898,0.12213060968225829,0.8184980674357941,0.07912551846814508,0.9061773707241091,0.07549613292240205,0.8668778476092619,0.12844805976694218,0.8258544629973201,0.07220639941955898,0.09216726748012699,0.04165714279653122
LR,0.8298469387755102,0.08011264442326382,0.750851078594872,0.20571003529570914,0.7214115646258503,0.20712557109592147,0.7098342192651149,0.1612264837151633,0.7868453500203682,0.09730762864611875,0.8869867103458576,0.08056256968196214,0.8442268575987677,0.15628894751152206,0.7924989692846836,0.0957401109487078,0.137059833100685,0.05104586854960496
RF,0.8785714285714287,0.04504784083379602,0.8244893163451671,0.12887924133215803,0.7870408163265307,0.18213117373235818,0.7843099381335344,0.11898199787589173,0.8455598572623618,0.06544496923056187,0.9373301843928665,0.06722999098872433,0.9083091431189722,0.10344216310541328,0.851670016491445,0.07762850574331998,0.08355969360024351,0.035075591268081574
SVM,0.8721938775510203,0.05127420762409169,0.8311243341079377,0.1514706977141941,0.7593282312925169,0.1696534445062041,0.7752909511189074,0.1187970917129594,0.8390049601285346,0.06974960832876398,0.921675280501811,0.06477362279120094,0.8855149852348028,0.12136576865065273,0.8404688466295609,0.07786228805863477,0.09522099178422391,0.03155867373640701
