model_a,model_b,statistic,p_value,p_bonferroni,significant
ET,Ensemble,97.0,0.7841262817382812,1.0,False
ET,GB,69.0,0.29542405582364173,1.0,False
ET,KNN,52.0,0.04844093322753906,1.0,False
ET,LR,17.0,0.0003948211669921875,0.008291244506835938,True
ET,RF,79.0,0.7771175732880233,1.0,False
ET,SVM,89.0,0.5705966949462891,1.0,False
Ensemble,GB,71.0,0.5277266198659963,1.0,False
Ensemble,KNN,51.0,0.04405403137207031,0.9251346588134766,False
Ensemble,LR,10.0,8.20159912109375e-05,0.0017223358154296875,True
Ensemble,RF,93.0,0.9358520318812181,1.0,False
Ensemble,SVM,85.0,0.47490501403808594,1.0,False
GB,KNN,77.0,0.3117942810058594,1.0,False
GB,LR,45.0,0.023950576782226562,0.5029621124267578,False
GB,RF,88.0,0.5458755493164062,1.0,False
GB,SVM,100.0,0.8694877624511719,1.0,False
KNN,LR,69.0,0.1893482208251953,1.0,False
KNN,RF,60.0,0.09730720520019531,1.0,False
KNN,SVM,79.0,0.34881019592285156,1.0,False
LR,RF,23.0,0.001209259033203125,0.025394439697265625,True
LR,SVM,42.0,0.017181396484375,0.360809326171875,False
RF,SVM,83.0,0.4304332733154297,1.0,False
